id,adr,lat,long
0,route des Ansereuilles,294992.0,5055737.0
1,Place du général de Gaul,293151.0,5052936.0
2,Rue  nationale,291714.0,5051243.0
3,30 rue Jules Guesde,289123.0,5051974.0
4,72 rue Victor Hugo,290605.0,5051607.0
5,D39,288837.0,5052132.0
6,4 route de camphin,296652.0,5052211.0
7,rue saint exupéry,293875.0,5053146.0
8,rue de l'égalité,284896.0,5053707.0
9,face au 59 rue de Lille,281517.0,5053639.0
10,76 route de Lille,281987.0,5054194.0
11,RN41-D 145,290868.0,5058465.0
12,rue delval,283783.0,5061613.0
13,26 rue d'estaires,280251.0,5053196.0
14,rue chobourdin,285234.0,5057886.0
15,Rue Nationale,312175.0,5051098.0
16,rue de l'égalité,316665.0,5051293.0
17,CD 917,313456.0,5048030.0
18,Intersection CD 145 - Ru,314516.0,5054792.0
19,rue de wachemy,318902.0,5054129.0
20,rue de Seclin,307765.0,5053925.0
21,1405 route nationale,312429.0,5050590.0
22,PONT THIBAUT,310671.0,5053476.0
23,Rue Grande Campagne,317434.0,5052832.0
24,rue florent Evrard,303419.0,5045918.0
25,CD 954,310784.0,5047812.0
26,RD943B,245763.0,5066745.0
27,route d'hazebrouck,242763.0,5069514.0
28,RD642,241800.0,5073020.0
29,rue de bailleul,272401.0,5076039.0
30,Route Départementale 642,268824.0,5073276.0
31,6 rue nationale,269707.0,5073981.0
32,RD 642,269505.0,5073351.0
33,Rue du Grand Chemin,273765.0,5063499.0
34,7 rue du pont de pierre,276577.0,5071101.0
35,rue des clinques,277135.0,5063462.0
36,rue de la Lys,277069.0,5066770.0
37,CD-947,273673.0,5063753.0
38,RD 945,273764.0,5062599.0
39,Rue de la Lys,278779.0,5067304.0
40,RUE DE VERDUN,271447.0,5063480.0
41,ROUTE DE CAUDESCURE,262940.0,5065537.0
42,rue du 8 mai 1945,255111.0,5062626.0
43,rue de maroeuil,262903.0,5062556.0
44,rue d'aire,259899.0,5063912.0
45,RUE D AIRE,259912.0,5063898.0
46,rue Jean Baptiste Lebas,323652.0,5063272.0
47,Rue de Saint-Amand,322961.0,5060838.0
48,rue du maréchal LECLERCQ,316554.0,5060049.0
49,rue felix dehau,319834.0,5057565.0
50,Rte départementale,326460.0,5053908.0
51,Impasse du collège,321425.0,5057068.0
52,D94,319362.0,5057674.0
53,Route de valenciennes,323544.0,5056511.0
54,1359 Rue de Libération,321930.0,5053087.0
55,105 rue de quesnoy sur d,296942.0,5068934.0
56,868 rue de Comines,300707.0,5072335.0
57,Rue de Messines,297120.0,5069979.0
58,30 rue de Lambersart,300162.0,5067501.0
59,rue du maréchal Foch,299974.0,5071292.0
60,FACE AU 72 Rue Roger Sal,351840.0,5032068.0
61,32 rue martin hecquet,347979.0,5026489.0
62,CD45,341413.0,5024960.0
63,D49 rue François MITTERA,327905.0,5029368.0
64,RD 81,338517.0,5026338.0
