place,user_category,gravity,sex,birth_year
1,1,3,1,1928
1,1,1,1,1960
1,1,1,1,1947
-2147483648,3,4,1,1959
1,1,3,1,1987
1,1,1,1,1977
1,1,3,1,2013
1,1,1,1,1982
1,1,4,1,2001
1,1,1,1,1946
1,1,1,1,1984
2,2,1,1,1992
9,2,4,1,1995
-2147483648,3,3,1,1959
1,1,3,1,1996
1,1,1,1,1987
-2147483648,3,2,1,1944
1,1,4,1,1987
1,1,3,1,1977
1,1,1,2,1948
1,1,1,2,1953
1,1,3,1,1987
1,1,3,1,1997
2,2,3,2,2002
7,2,3,1,1996
9,2,3,2,2001
1,1,3,1,1961
1,1,1,2,1972
2,2,1,2,2002
1,1,1,1,1987
-2147483648,3,3,2,1929
1,1,3,1,1996
1,1,1,1,1941
-2147483648,3,4,2,2004
1,1,3,1,1974
1,1,3,1,2000
1,1,1,2,1975
1,1,3,1,1954
2,2,3,2,1952
1,1,1,1,1988
1,1,1,1,1988
1,1,3,1,1997
1,1,1,2,1993
1,1,3,1,1950
1,1,1,1,1965
-2147483648,3,3,1,1946
1,1,1,1,1991
1,1,3,1,1975
1,1,1,1,1979
-2147483648,3,4,1,1938
1,1,2,1,1951
1,1,3,2,1949
1,1,1,1,1957
1,1,3,1,1974
1,1,1,2,1995
1,1,1,1,1981
1,1,3,1,1990
1,1,1,2,1950
2,2,1,2,1930
9,2,2,1,1934
1,1,1,1,1998
-2147483648,3,4,2,1999
1,1,2,1,1966
1,1,1,1,1963
-2147483648,3,2,1,1949
1,1,1,1,1960
1,1,1,1,1978
1,1,3,1,1994
1,1,4,2,1992
1,1,3,2,1999
1,1,3,1,1975
1,1,1,1,1939
1,1,3,1,1948
1,1,1,1,2000
2,2,1,1,2002
1,1,4,1,1968
2,2,3,2,1971
4,2,3,2,1993
1,1,3,1,1987
1,1,1,1,1996
1,1,1,1,1991
1,1,4,1,1971
1,1,1,1,1954
1,1,3,1,2000
1,1,1,2,1979
1,1,1,2,1975
1,1,3,1,1967
1,1,3,1,1984
1,1,3,1,1977
1,1,1,1,1996
1,1,1,1,2000
1,1,3,1,1947
1,1,3,1,1999
2,2,3,1,1992
1,1,1,1,2000
2,2,1,1,2001
5,2,3,1,1998
1,1,1,2,1991
-2147483648,3,2,1,1937
1,1,1,2,1978
1,1,1,1,1961
2,2,4,2,1931
1,1,1,2,1945
-2147483648,3,4,1,1956
1,1,1,1,1981
1,1,4,1,1949
1,1,1,2,1987
1,1,2,1,1940
1,1,3,1,2002
1,1,1,1,1973
1,1,1,1,1989
1,1,4,1,1985
1,1,3,1,1975
1,1,1,1,1981
1,1,4,2,2003
1,1,1,2,1983
1,1,1,2,1934
1,1,3,1,1944
1,1,4,1,1998
2,2,3,1,1999
1,1,4,1,1997
1,1,4,1,1959
1,1,3,1,1979
1,1,1,1,1998
1,1,1,1,1976
-2147483648,3,4,1,1933
1,1,1,1,1998
2,2,1,1,1999
1,1,1,1,1952
1,1,4,1,1944
1,1,3,1,2000
2,2,3,1,1995
1,1,3,1,1985
1,1,3,2,1978
1,1,4,1,1997
1,1,4,1,1970
1,1,3,1,1972
1,1,3,1,1989
1,1,3,1,1998
1,1,3,1,1998
9,2,4,1,1997
1,1,4,2,1934
3,2,4,2,1957
9,2,4,1,1956
1,1,4,1,1989
1,1,4,1,1997
1,1,3,2,1972
2,2,1,1,1971
1,1,4,1,1989
1,1,3,1,1995
5,2,4,1,1991
1,1,3,1,1963
1,1,1,1,1972
1,1,4,2,1978
1,1,3,1,1985
1,1,1,1,1997
1,1,3,1,2002
1,1,3,1,1992
1,1,1,1,1983
1,1,1,1,1974
1,1,3,1,1970
1,1,1,1,1940
1,1,3,1,1957
1,1,3,1,1999
1,1,3,2,1971
1,1,1,2,1976
1,1,4,1,1982
1,1,4,2,1970
1,1,3,1,1969
1,1,1,1,1992
1,1,4,1,1948
