id,atm,surface
57783,1,1
57784,1,1
57785,1,1
57786,1,1
57787,1,1
57788,1,1
57789,1,1
57790,1,1
57791,2,1
57792,1,1
57793,1,1
57794,1,1
57795,2,1
57796,2,2
57797,1,7
57798,1,1
57799,1,1
57800,7,1
57801,1,1
57802,1,1
57803,1,1
57804,1,1
57805,1,1
57806,1,1
57807,1,1
57808,1,1
57809,1,1
57810,1,-1
57811,1,1
57812,1,1
57813,1,1
57814,1,1
57815,1,1
57816,3,2
57817,1,1
57818,1,1
57819,1,1
57820,1,-1
57821,2,2
57822,6,2
57823,1,1
57824,1,1
57825,1,1
57826,1,1
57827,1,1
57828,1,1
57829,1,1
57830,1,2
57831,9,7
57832,1,1
57833,1,1
57834,1,-1
57835,8,1
57836,1,2
57837,1,1
57838,1,1
57839,1,1
57840,1,0
57841,8,3
57842,2,2
57843,1,1
57844,1,1
57845,1,1
57846,1,1
57847,1,1
57848,1,4
57849,2,2
57850,1,1
57851,2,2
57852,2,2
57853,1,1
57854,2,2
57855,7,1
57856,1,1
57857,1,1
57858,1,1
57859,1,1
57860,1,1
57861,1,1
57862,1,1
57863,1,-1
57864,8,2
57865,1,1
57866,1,1
57867,1,1
57868,8,1
57869,2,3
57870,2,1
57871,1,1
57872,1,1
57873,1,1
57874,7,1
57875,1,1
57876,1,1
57877,1,1
57878,1,1
57879,1,2
57880,1,2
57881,1,1
57882,1,1
57883,1,1
57884,1,1
57885,1,1
57886,2,1
57887,3,2
57888,7,1
57889,1,-1
57890,1,1
57891,2,2
57892,1,1
57893,1,1
57894,1,1
57895,1,1
57896,1,1
57897,1,0
57898,1,1
57899,1,-1
57900,1,1
57901,1,1
57902,1,1
57903,2,2
57904,1,1
57905,1,1
57906,1,1
57907,5,1
57908,2,2
57909,1,1
57910,1,1
57911,1,1
57912,1,1
57913,1,1
57914,1,4
57915,1,1
57916,1,1
57917,1,1
57918,1,1
57919,1,1
57920,1,1
57921,1,-1
57922,1,1
57923,1,-1
57924,1,1
57925,1,1
57926,1,1
57927,4,1
57928,1,-1
57929,8,2
57930,1,1
57931,1,3
57932,1,1
57933,3,1
57934,2,4
57935,1,1
57936,1,-1
57937,1,9
57938,7,1
57939,1,1
57940,1,-1
57941,1,1
57942,8,1
57943,2,-1
57944,1,1
57945,1,1
57946,1,1
57947,6,2
57948,1,1
57949,3,2
57950,1,1
57951,6,1
57952,1,1
57953,8,2
57954,4,9
57955,9,1
57956,5,2
57957,1,1
57958,1,1
57959,1,1
57960,1,1
57961,1,1
57962,1,1
57963,1,1
57964,2,2
57965,1,1
57966,1,1
57967,1,1
57968,1,1
57969,1,1
57970,3,2
57971,1,1
57972,1,1
57973,9,7
57974,2,2
57975,2,2
57976,1,1
57977,1,1
57978,1,1
57979,1,1
57980,7,-1
57981,1,1
57982,1,1
57983,1,1
57984,1,1
57985,1,1
57986,1,1
57987,1,1
57988,2,1
57989,1,1
57990,1,1
57991,1,0
57992,7,-1
57993,1,1
57994,1,1
57995,1,1
57996,1,1
57997,7,1
57998,7,2
57999,1,1
58000,5,2
58001,2,1
58002,7,1
58003,1,1
58004,7,1
58005,4,5
58006,1,1
58007,1,1
58008,1,-1
58009,1,1
58010,8,1
58011,2,6
58012,1,1
58013,1,2
58014,1,1
58015,1,1
58016,1,1
58017,2,1
58018,1,1
58019,1,3
58020,1,1
58021,1,1
58022,1,1
58023,1,1
58024,1,1
58025,1,1
58026,1,1
58027,1,1
58028,1,1
58029,1,1
58030,1,1
58031,8,2
58032,1,4
58033,1,1
58034,1,-1
58035,2,1
58036,1,1
58037,1,1
58038,7,1
58039,2,2
58040,1,1
58041,1,1
58042,1,1
